,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
711,,,"t","MDJDEN","MDJDEN",,,"Jacob David",,,"3612-0118",,"Human Rights, Economic Development, ",,,,,
713,,,"t","Médecins du monde","MDM",,,"Jean Kith",,,"3621-4969",,"Human Rights ",,,,,
762,,,"t","MOKPA / MEEDH","MOKPA / MEEDH",,,"Louis  Wilson",,"wilcovis@yahoo.fr","3845-7331",,"Human Rights, Economic Development, Education",,,,,
764,,,"t","Mouvement des Jeunes Progressistes pour le Développement National et d’Evangélisation ","MJPDNE",,,"Vital Rocher",,"mojpdne@yahoo.fr","3734-4925",,"Human Rights ",,,,,
765,,,"t","Mouvement Humaniste Haitien ","MHH ",,,"Bernard Luckner        ","Les Cayes",,"3770-1156",,"Human Rights ",,,,,
766,,,"t","Mouvement pour le Développement Social et la Défense Humaine","MDSDH",,,"Laimé Ferdinand",," mdshh2020@yahoo.fr","445-2858",,"Human Rights ",,,,,
785,,,"t","OCHATPE","OCHATPE",,,"Etienne  Jean -Guito",,"ochatpe@yahoo.fr","3445-2047",,"Human Rights, Environment, ",,,,,
786,,,"t","ODPP",,,,"Desamour Yanique ",,,"345-7221",,"Human Rights ",,,,,
792,,,"t","OFALA","OFALA",,,"Bien-Aime Mamotte",,,"3464-5565",,"Human Rights ",,,,,
796,,,"t","Oganizasyon Fanm Lakay","OFL",,,"Pacaud Mie Thérèse",,,"373-6625",,"Human Rights ",,,,,
797,,,"t","Oganizasyon Fanm Onè respè","OFOR",,,"Mme Eliane Moussignac",,"elianemoussiganc@yahoo.fr","381-4818",,"Human Rights ",,,,,
798,,,"t","OJVH","OJVH",,,"Charles Boivener","Gonaïves",,"391-5208",,"Human Rights ",,,,,
799,,,"t","OKFA","OKFA",,,"Séjousnat Islande        ","Gonaïves",,"392-8905",,"Human Rights ",,,,,
801,,,"t","OPDL","OPDL",,,"Sylvain Samuel ",,"sylvainsamuel@yahoo.fr","3747-1058",,"Human Rights, Economic Development, ",,,,,
814,,,"t","Organisasyon Fanm Solide ",,,,"Yvon Jean Noel",," yvonjn@yahoo.fr","464 63 70",,"Human Rights ",,,,,
818,,,"t","Organisation Citoyenne des Droits Humains ","ORCIDH",,,"St Louimé Victiélo",," orcidhhaiti@yahoo.fr","418-4775",,"Human Rights ",,,,,
827,,,"t","Organisation Feminine de Vaillant ",,,,"Pierre Moline ",,,36741292,,"Human Rights ",,,,,
836,,,"t","Organisation pour le developpement fanm","OFDF",,,"Papouloute Cyliana",,,"3490-8053",,"Human Rights ",,,,,
844,,,"t","Organisations des paysans de Mapou","OPM",,,"Dérisier Renaud","Belle Anse",,,,"Human Rights ",,,,,
847,,,"t","Organizasyon Fanm an aksyon Simon ","OFAS",,,"Voltaire Emilio","Les Cayes",,"3343-8487",,"Human Rights ",,,,,
849,,,"t","Organysasyon Fanm Combattant",,,,"Guillaume Ermase ",,,"3481-3807",,"Human Rights ",,,,,
850,,,"t","Organysasyon Kimbe Ferme",,,,"amour Arnuse",,,"3432-5915",,"Human Rights ",,,,,
852,,,"t","Orphelinat Cœur de Jésus Léon","OCJL",,,"Jean Fosy Josil",,,"3420-6555",,"Human Rights ",,,,,
853,,,"t","Ouanaminthe Belle – Initiative citoyenne – prometteur dans le cadre du nouveau programme MPP",,,,"Charles  Hugo",,,"343-0701",,"Human Rights ",,,,,
856,,,"t","OXFAM",,,,"Germain Elie",,,"373-3874",,"Human Rights ",,,,,
865,,,"t","OZANFAN","OZANFAN",,,"P. Louis Clenante",,,"3481-3029",,"Human Rights, Children & Youth, ",,,,,
882,,,"t","Pasteur Eglise Baptiste",,,,"Rév. P. Jean André",,,"370-6556",,"Human Rights ",,,,,
909,,,"t","PREDCARITAS","PREDCARITAS",,,"Père Saint-Alphonse",,,,,"Human Rights ",,,,,
931,,,"t","Radio Bosco Vox",,,,"Rév. Père Sonel",,,"372-8956",,"Human Rights ",,,,,
932,,,"t","Radio Gama FM",,,,"Michel Judson",,,"345-4432",,"Human Rights ",,,,,
933,,,"t","Radio Parole de vie",,,,"Rév. Père Volvick",,,"379-0577",,"Human Rights ",,,,,
935,,,"t","RAJEDEG","RAJEDEG",,,"Beaugé Onatèche","Gonaïves",,"362-5095",,"Human Rights ",,,,,
936,,,"t","Rassemblement des paysans de Mont Organisé – la SDH a souvent collaboré avec eux + partenaire très  prometteur dans le cadre du nouveau programme MPP","RPM",,,"Wilner  Marcellus",,,"370-6469",,"Human Rights ",,,,,
937,,,"t","Rassemblement organisation peyisan GA","ROPAGA",,,"Jean Widal Fanor ",,"jeanwidal@hotmail.com","374-6224",,"Human Rights ",,,,,
940,,,"t","REDHA/RNDDH","REDHA/RNDDH",,,"Philippe Berthony"," Gonaïves",,"372-9971",,"Human Rights ",,,,,
941,,,"t","Regroupement des Citoyens pour l’Intégration sociale des Haïtiens ","RECISH",,,"Calixte Fritzner",,"recishhaïti@yahoo.fr","3763-2996",,"Human Rights ",,,,,
942,,,"t","RENDH","RENDH",,,"Florestal  Elusma",,,"3606-6586",,"Human Rights, Education, ",,,,,
944,,,"t","Réseau associatif national pour la promotion des personnes handicapées","RANIPH",,,"Forgeas Jean Joseph","Jacmel",,"373-4858",,"Human Rights ",,,,,
945,,,"t","Réseau binational Jeanot Succès – Activités frontalières / Membre de la Synergie des Droits de l’Homme","RJS",,,"Phanord  Alain",,,"370-5570",,"Human Rights ",,,,,
946,,,"t","Réseau communautaire de femmes","REKFAM",,,"Bazile  Mariette",,,"367-2520",,"Human Rights ",,,,,
948,,,"t","Réseau des Femmes en Action pour le Progrès ","REFAP",,,"Barthelemy Murlande",,"refa_009@yahoo.fr","3927-6920",,"Human Rights ",,,,,
949,,,"t","Réseau des jeunes éducateurs en droits de l’homme","REJEDH",,,"James Innocent",,"rejedh_dwamoun@yahoo.com",,,"Human Rights ",,,,,
951,,,"t","Réseau du Nord-est de défense des droits de l’homme / Membre de la Synergie des Droits de l’Homme","RNDDH/RENEDH ",,,"Louis  Narcès",,,"37085382",,"Human Rights ",,,,,
952,,,"t","Réseau femmes du Nord-est ","RFN",,,"Raphael Myrtha",,,"375-9697",,"Human Rights ",,,,,
"x",,,,"RESEAU NATIONALE DE DEFENSE DES DROITS HUMAINS","RNDDH",,,"rnddh@rnddh.org","9, Rue Riviera, PAP, AITI","www.rnddh.org","2245-3486","Haiti","Human Rights Pierre Esperance, ED",,,,,
955,,,"t","Réseau Sud pour la défense des droits humains ","RSDDH",,,"MYRTIL Yonel","Les Cayes",,"3798-7643",,"Human Rights ",,,,,
956,,,"t","Réseau Sud-est de défense de droits humains","RESEDH",,,"Pierre Paul Jetho","Jacmel",,"600-5766",,"Human Rights ",,,,,
961,,,"t","RTD","RTD",,,"Salomon Myrto",,"bellahlus@yahoo.fr","3779-1791",,"Human Rights ",,,,,
975,,,"t","SCJMC","SCJMC",,,"Lormilus Ojala ","Gonaïves",,"348-0489",,"Human Rights ",,,,,
992,,,"t","SJBA","SJBA",,,"Alexandre Pradel","Saint-Marc",,"374-5657",,"Human Rights ",,,,,
997,,,"t","Société Civile",,,,"Saint-Pierre Esdras","Gonaïves",,"374-5879",,"Human Rights ",,,,,
1022,"q",,"t","Solidarite Fwontalye ",,,,"Monestime Pérard",,,"34960102",,"Human Rights ",,,,,
1035,,,"t","Syndicat de la Zone franche de Ouanaminthe ","SOKOWA",,,"Etienne Romain",,,"393-8390",,"Human Rights ",,,,,
1037,,,"t","Terre des Jeunes",,,,"Augustin Dieuseul","Gonaïves",,"365-7808",,"Human Rights ",,,,,
1056,,,"t","Union suzanéenne de développement communautaire et FOS – Fédération des organisations de SZ – tous deux partenaires prometteurs dans le cadre du nouveau programme MPP","USDEC",,,"Bernard Bien-Aimé",,,"363-2971",,"Human Rights ",,,,,
1080,,,"t","Vision pour l'avenir du Sud vers une société civilisée et organisée ","VASCO",,,"Jean Bourdeau","Les Cayes",,"3485-8484",,"Human Rights ",,,,,
1100,,,"t","X-Rouge haïtienne – partenaire plutôt dans le passé ",,,,"Selondié Abellard",,,"344-9955",,"Human Rights ",,,,,
1104,,,"t","Zone franche de Ouanaminthe, responsable sécurité – nouveau partenaire",,,,"Corona Alex",,,"809-8620",,"Human Rights ",,,,,
8,,,"x","ACTED",,,,,,,,,"Humanitarian Assistance, Economic Development, Education",,,,,
11,,,,"Action by Churches Together International","ACT",,,,,"www.act-intl.org",,"Switzerland","Humanitarian Assistance, Disaster Risk Preparedness, ",,,,,
,,,"lo","Action de la Jeunesse pour une Haïti Nouvelle","AJHAN",,,"Thadlin Lindor , Ajhan2054@gmail.com","353,Route de Bourdon, Département de l’ouest , Haiti",,"36040404","Haiti","Humanitarian Assistance ","Département de l’ouest ",,"Haiti",,
36,,,,"Agence Pentecostale de Service Social","ASSPEN","B-0436",3-Mar-2008,"M.Johel JEAN PIERRE","1A, Duplan, Fermathe (à côté de l'Eglise Catholique)",,"3462-9159",,"Humanitarian Assistance ","Fermathe",,"Haitian",,
,,,"gc","Agency for Technical Cooperation and Development","ACTED",,,"Björn Schranz - Country Director, ACTED Port au Prince port-au-prince@acted.org, paris@acted.org","33, rue Godot de Mauroy, 75 009 Paris (France)","www.acted.org","249 1042",,"Humanitarian Assistance, Disaster Risk Preparedness, ",,,,,
42,,,,"Aid to Artisans ","ATA","SS-003",12-Sep-2002,"Mme Gardella M. ALEXIS","30, rue Goulard,  Place Boyer,  P-V",,"257-7212",,"Humanitarian Assistance ","Port-au-Prince            Jacmel                           Jérémie                                    Cap-Haïtien",,"American",,
49,,,,"Alliance d'Amour ","AA","B-0217",22-Dec-1995,"Karl M. NOZIL","79, Imp. Eddy, Carrefour-Feuilles",,"238-8366",,"Humanitarian Assistance ","Port-au-Prince                 Léogane",,"Haitian","18/3/96",
53,,,,"American Friends Service Commite ","AFSC","B-0241",10-Apr-1996,"Rév. Andris RICHE","Delmas 71, rue Fougère, P-au-P",,"246-2540",,"Humanitarian Assistance, Agriculture, Health","Grand'Anse",,"American",,"Fermee"
56,,,,"American Jewish World Service","AWJS",,,,,"ajws.org",,,"Humanitarian Assistance, Health, Education",,,,,"American Jewish World Service fights hunger, disease and poverty in the developing world by funding hundreds of grassroots organizations working to promote health, education, economic development, disaster relief, and social and political change in the developing world."
,,,"x","AmeriCares Foundation",,,,,"88 Hamilton Ave, Stamford, CT USA 06902","www.americares.org","1.800.486.4357","America","Humanitarian Assistance ",,,"American",,"AmeriCares is an international relief organization that has been providing relief to Haiti since 1984, partnering with local health care organizations that make health care available to people whose movement within the country is limited by weak infrastructure and the constant threat of violence; these partners include: Partners in Health (PIH), the Center for Rural Development of Milot (CRUDEM) and the Haitian Health Foundation (HHF)."
,,,,"Association pour le Réhabilitation Socio-Economique du Nord'Ouest","ARSENO",,,,,,"561-965-8300 x 304",,"Humanitarian Assistance ",,,,,
149,,,,"Beraka","BERAKA","B-0451",10-Nov-2008,"Avril Jean ARAM","6, Rue Antoine, Bon Repos, Croix-des-Bouquets",,"3813-7530",,"Humanitarian Assistance ","Plaine du Cul de Sac",,"Haitian",,
150,,,,"Bethsaïda Community Center ","BCC","B-0344",24-Nov-2003,"Grégory CHARLES PIERRE","68, Rue Saint-Honoré",,"556-9611",,"Humanitarian Assistance ","North'East: Fort-Liberté",,"Haitian",,
157,,,,"Bon Samaritain Salem  d'Haïti ","BSSH","B-0299",19-Mar-2002,"M. Georges JOSEPH","2,  Rue Libellule, Brochette 99, Carrefour",,"234-1813",,"Humanitarian Assistance ","West:  Carrefour",,"Haitian",,
,,,"x","CARE International
","CARE",,,"1.  Sophie Perez, Country Director (3767-1344)                           
2. Gary Philoctète,  Country Director a. i. for Program (3730-4041/404-5343/3527-8222)
3. Jeannette Toussaint (3762-6601)
4. Fenold Clerval (3527-8214/3547-0439/0440)
5. Yves-Laurent Regis, MYAP Manager (3458-0642); 3724-8401
6. Gerry Delphin, Northwest Early Warning System (NEWs)
7. Lissa Etienne, Financial and Inventory Controller
9. Mireille Sylvain, Health Sector Manager
10. Sandra Saint -Juste

"," Port-au-Prince
92, Rue Grégoire
Pétion Ville, Haïti","philoctete@pap.care.org
nicolas@pap.care.org
fcla1712@yahoo.fr


regisyl@pap.care.org/ yvalair@yahoo.ca
jeanbaptiste@pap.care.org 
etienne@pap.care.org
sylvain@pap.care.org
stjuste@pap.care.org

","2257-5389",,"Humanitarian Assistance, Education, Health","Grande Anse, West, Artibonite, Northwest",,"British",,
,,,"lo","Catholic Relief Services","CRS",,,"William Canny, wcanny@crshaiti.org","Delmas 81, #1, P.O. Box 1118, Port-au-Prince, Haiti","www.crs.org"," 2246-7381 ","USA, Baltimore","Humanitarian Assistance, Education, Health","Grand-Anse, South, Southeast, Nippes, West, Artibonite, North, Northwest, Plateau Central, ",,"USA",,"Our mission is to assist impoverished and disadvantaged people overseas, working in the spirit of Catholic Social Teaching to promote the sacredness of human life and the dignity of the human person. Although our mission is rooted in the Catholic faith, our operations serve people based solely on need, regardless of their race, religion or ethnicity. Within the United States, CRS engages Catholics to live their faith in solidarity with the poor and suffering of the world.   CRS established a presence in Haiti in 1954 to address the massive destruction and loss of life caused by tropical hurricane Hazel. CRS’ programs focused on humanitarian assistance and relief interventions. As the years have gone by, CRS has extended the scope of its assistance in Haiti government by implementing a variety of development-oriented programs, targeting the poorest households segments of the population.  CRS/Haiti’s partners include well-organized associations, school and health institutions, non-governmental and community based organizations (NGOs and CBOs), and the Diocesan Caritas commissions. CRS also maintains positive relationships with the public services and other safety net institutions in the context of emergency relief, planning, coordination and program implementation in the field. Although most of its activities are concentrated in the Southern Peninsula and in the West for safety net interventions, CRS also assists the populations of Northern and Central Haiti though projects carried out by the Diocesan Caritas offices.  CRS maintains two important offices in Haiti, in Port-au-Prince and in Les Cayes. Four others CRS offices representation are located in Jeremie, Miragoane, Gonaives and Port-de-Paix."
196,,,,"Centre d'Accueil et de Récupération des Personnes du 3e Age","CARPA","B-0374",5-Jul-2005,"Sony CELY","12, Rue Lamarre,P-a-P ",,"221-8956",,"Humanitarian Assistance ","West (P-a-P, Tabarre)       North (Limbé, Cap-Haïtien)   South-East (Jacmel, Cayes-Jacmel)",,"Haitian",,
202,,,,"Centre d'appui pour le développement ","CAD",,,"Ms. Marline Mondesir, Marlène VERDIER","14 rue Bredy Carrefour-Feuilles Port au Prince Haiti",,"222-6962",,"Humanitarian Assistance ","Port-au-Prince",,"Haitian",,
207,,,,"Centre de Développement Intégré de la Mission de l'Eglise de Dieu Indépendante de la Porte Etroite ","CDI de la MEDIPE","B-0425",10-Oct-2007,"Rév. Harry OSCAR ","39, Rue Ricot Prolongée, Carrefour-Feuille",,"3411-2277",,"Humanitarian Assistance ","Port-au-Prince (Carrefour-Feuille)",,"Haitian",,
223,,,,"Centre d'Education et de Protection de la Famille Haitian ","CEPFAH II","B-0313",10-Feb-2003,"Georges Nathalie FRANCOIS ","9, Rue Clercine 4, Plaine du Cul-de-Sac",,"238-0524",,"Humanitarian Assistance, Health, ","Port-au-Prince                 Léogane                       Croix-des-Bouquets      Petit-Goave                 Kenscoff                      P.du Cul-de-Sac",,"Haitian",,
258,,,,"Children Care Outreach, Inc","CCO","B-0369",13-Dec-2004,"Pasteur Pierre HENRY'S","Marcelin 2e Section Communale de Camp-Périn, localité de Mathurin",,"404-7654",,"Humanitarian Assistance ","Mathurin et Tibi: quartier de la 2ème Section Communale de Camp-Perin",,"American",,
261,,,,"Christian Aid Ministries ","CAM","B-0293",19-Mar-2002,"Rév. Eris LABADY","Rte. Ntle #1,Titanyen BP.15184. P.V",,"257-9550",,"Humanitarian Assistance, Education, Agriculture","N.O: Môle St. Nicolas       Bombardopolis      Art:Gros-Morne                N.O: Anse Rouge",,"Haitian",,
275,,,,"Club de l'Age d'Or ","CADOR","B-0302",24-Oct-2002,"Marguerite DERENONCOURT","9, Rue Capois, P-au-P",,"222-0163",,"Humanitarian Assistance, Health, ","Port-au-Prince",,"Haitian",,
284,,,,"Collectif  d'Actions pour le Développement du Nord'Ouest","CADNO","B-0366",13-Dec-2004,"Dr. Osni EUGENE","65bis, Avenue Lamartinière",,"245-7198",,"Humanitarian Assistance ","Commune du Môle St. Nicolas, Sont-Louis du North, Port de Paix",,"Haitian",,
310,,,,"Concern Worldwide","CW","B-0263",15-Jun-1997,"Carine ROENEN","28, Rue Métellus, PV, HAITI    haiti@haitimail.org",,"257-4591",,"Humanitarian Assistance, Health, ","St.Martin, P-au-P",,"Irlandaise",,
379,,,,"Enfants du Monde/Droits de l'Homme","EM/DH","B-0209",20-Nov-1995,"Thierry ATTIE                      Père Yves BUANNIC","51, Epis. D'or rue Rigaud, P-V",,"257-3652",,"Humanitarian Assistance, Food Security, Health","Quatier-Morin            Cap-Haïtien        Carrefour",,"French",,
382,,,,"Espoir pour tous ","EPT","B-0290",19-Mar-2002,"M. Déliaire DOCILET","Delmas 19 # 18 à l'étage BP 13216",,"510-8237",,"Humanitarian Assistance, Agriculture, ","North-West: Jean Rabel",,"Haitian",,
412,,,,"Fondation Béthel d'Haïti","FBH","B-0262",15-Jul-1997,"Jean Esaïe DIEUDONNE","6, Rue Acul Espagnol, Croix-des-Bouquets, BP.277",,"238-8020",,"Humanitarian Assistance ","Croix-des-Bouquets",,"Haitian",,
423,,,,"Fondation de l'Espoir pour Haïti ","FONEH","B-0222",18-Jan-1996,"Pasteur Michelet BRUTUS","Delmas 19, rue Mackandal # 8 bis",,"249-4317",,"Humanitarian Assistance ","St. Michel de l'Attalaye et Environs",,"Haitian",,
431,,,,"Fondation Faith And Love, Inc Action Ministries ","FAITH AND LOVE","B-0341",27-Oct-2003,"Marie Marlène O. ALIX","20, Imp. Valescot, Carrefour, Saint-Marc, Bon-Repos",,"238-4856",,"Humanitarian Assistance, Health, Education","Coix-des-Bouquets (Beaubain)",,"Haitian",,
433,,,,"Fondation Gaudium et Spes",,"B-0257",5-May-1997,"Judith POITRAS","Musseau, rue François # 8, P-au-P",,"249-2156",,"Humanitarian Assistance ","l'West ",,"Canadian",,
462,,,,"Fondation Philanthropique pour le Développement de la Commune de Ganthier ","FOPDECG","B-0247",9-Oct-1996,"Jean M. Michel DESTINE","32, rue Gabart, P-V",,"257-2975",,"Humanitarian Assistance ","Ganthier",,"Haitian",,
467,,,,"Fondation Proderno ","PRODERNO","B-0343",8-Oct-2003,"David SYLVESTRE","68, Rue des Miracles ",,"222-2457",,"Humanitarian Assistance ","Port-de-Paix",,"Haitian",,
468,,,,"Fondation Rayon d'Espoir","FR","B-0447",9-Sep-2008,"Rév. Mathieu CICERON","12, Angle Rues M. Simon et Sylvio Cator, Delmas 24   fondationrayondespoir@yahoo.fr",,"3618-6471",,"Humanitarian Assistance ","West (La Soure, Fonds Parisien, Ganthier)",,"Haitian",,
470,,,,"Fondation Sévère d'Haïti ","FSH","B-0285",20-May-2002,"M. Willy Sévère","36, Rue Macaya, Delmas 8",,"223-6751",,"Humanitarian Assistance, Education, ","Croix-des-Bouquets",,"Haitian",,
482,,,,"Fonds d'Entraide et de Soutien ","FONES","B-0309",25-Nov-2002,"Rév. Pasteur Benjamin JOSEPH","2, Imp. Péricles, Rue Borno, Bois Moquette, P-V",,"257-9809",,"Humanitarian Assistance ","South: Camp-Pérrin        Levy-Mersan",,"Haitian",,
488,,,,"Fonds Haïtien de Développement Economique et Social ","FONHADES","B-0179",21-Mar-1995,"Roselore JULIEN","7, Impasse St. Juste, Christ-Roi",,"245-6130",,"Humanitarian Assistance, Education, Agriculture","Port-au-Prince (West)",,"Haitian",,
501,,,,"Foundation   For  Haiti     Forgotten Children ","FFHFC","B-0271",25-Sep-2000,"M. Nelson CAVALIER"," 2, Angle Rues Augustin & Cinéas, Morne Lazarre,            Pétion-Ville",,"257-5831",,"Humanitarian Assistance ","Côte de Fer",,"Haitian",,
514,"q",,,"Foyer Maurice Sixto","FMS","B-0240",20-Jun-1996,"Père Miguel JEAN-BAPTISTE","Brochette 99, rue Laurore & St.Louis # 90 (Carrefour), BP.11095, P-au-P",,"234-2637",,"Humanitarian Assistance ","Port-au-Prince",,"Haitian",,
518,,,,"France-Haïti Partage","FHP","B-0420",26-Jun-2007,"Mme Louise LEFRESNE","17, Rue Babiole, Port-au-Prince",,"551-8463",,"Humanitarian Assistance ","Champ de Mars         Martissant                 Fort National              Poste Marchand         Carrefour-Feuilles",,"French",,
519,,,,"Fraternité Notre Dame","FND","B-0223",18-Jan-1996,"Sr. Marie Bénédicte F. OUVRARD","Dumay, Croix-des-Bouquets/B.P1505, P-au-P",,"404-0163",,"Humanitarian Assistance, Education, Children & Youth","Haïti",,"American",,
581,,,,"Haiti Vision , Inc.","HV","B-0264",15-Jul-1997,"Rév. Sudre DANIEL","II 48 Ave. La HATTE, Petit-Gôave",,"287-0970",,"Humanitarian Assistance ","Petit-Goâve",,"American",,
597,,,"x","HELP",,,,,,,,,"Humanitarian Assistance ",,,,,
600,,,,"Hope For Haïti's Children/ Espoir pour les Enfants d'Haïti","HHC/EEH","B-0407",25-Sep-2006,"Jean Tyrard ELMERA","182, Delmas 28B",,"249-2874",,"Humanitarian Assistance, Advocacy & Policy, ","Petite Place Caseau",,"Haitian",,
612,,,,"Initiative d'Appui aux Personnes en Danger","IAPED","B-0373",5-Jul-2005,"Mie Narline St-FLEUR","90, Rue Estimé, Ave Pouplard",,"427-3988",,"Humanitarian Assistance ","Petit Marché (Ganthier)",,"Haitian",,
617,,,,"Institut Catholique Haitian d'Aide aux Nécessiteux ","ICHAN","B-0236",4-Apr-1996,"Père Ivon MASSAC","Route Duplan 2, zone Dikao, BP.17042",,"257-4522",,"Humanitarian Assistance ","Fermathe",,"Haitian",,
635,,,,"Integrated Foundation Toward Cooperation in Haiti ","IFOCOH","B-0335",22-Sep-2003,"Nadine PIERRE","50, Rue Villemenay ",,"512-9852",,"Humanitarian Assistance ","Artibonite",,"Haitian",,
639,,,,"Intermon Oxfam","I.O","B-0439",10-Mar-2008,"M. Jean Paul RIVEST","4, Rue Marcadieu, Bourdon",,"2245-8122",,"Humanitarian Assistance ","Vallée de l'Artibonite",,"Spanish",,
,,,,"Jeunesse Volontaire Haitian"," FVH",,,,,,,,"Humanitarian Assistance, Water & Sanitation, ",,,,,
680,,,,"Lafanmi Selavi ","LS","B-O229",27-Feb-1996,"Joachim ELIEN","27, Rue Camille Leon, Port-au-Prince",,"2245-1099",,"Humanitarian Assistance, Agriculture, Education","Plaine du Cul de Sac Port-au-Prince",,"Haitian",,"Fermee"
686,,,,"Latter-Day Saint Charities/Oeuvres Caritatives des Saints du Dernier Jour ","LDSC","B-0328",18-Jul-2003,"Gheuthewannha Gh. FRANCILLON","6, Delmas 54",,"512-5530",,"Humanitarian Assistance ","Arcahaie",,"American",,
703,,,,"Mains Secourables/Christian Helping Hands ","MS/CHH","B-0334",21-Aug-2003,"Jean-Robert JOSEPH                  Daniel JEAN-BAPTISTE","20, Rue Baussa, Delmas",,"245-1467",,"Humanitarian Assistance ","Delmas",,"Haitian",,
707,,,,"Maison l'Arc-En-Ciel","MAEC","B-0192",31-Jul-1995,"Danielle REID PENETTE","12, Rue Coicou, Delmas 33",,"246-5596",,"Humanitarian Assistance ","Port-au-Prince",,"Haitian",,
763,,,,"Mouvement d'appui au Développement de l'homme ","MADELH","B-0288",19-Mar-2002,"M. Charles Ricardy DENIS","St. Louis du Nord BP. 11200, Carrefour",,"245-0423",,"Humanitarian Assistance ","St. Louis du North",,"Haitian",,
779,,,,"North West Center for Community Development  ","NWCD","B-0426",10-Oct-2007,"M. Justin J. ANESTIN","13, Grand-Rue, Lapointe des Palmistes, Port-de-paix",,"3439-2929",,"Humanitarian Assistance ","North-West et Lapointe des Palmistes, La Tortue",,"American",,
782,,,,"Nouvelle Aurore ","NAU","B-0276",5-Jun-2001,"Mme Yvette SEVERE","79, Rue Rebecca Pétion-Ville",,"257-0727",,"Humanitarian Assistance ","West:  Delmas                       Gressier                     Croix-des-Bouquets ",,"Haitian",,
816,,,,"Organisation Chrétienne Le Bon Sauveur ","OCBS","B-0237",10-Apr-1996,"Fritzner JULES","168, Rue Monseigneur Guilloux",,"222-4718",,"Humanitarian Assistance ","Artibonite (Commune de Dessalines)",,"Haitian",,
828,,,,"Organisation Haitian pour la Réhabilitation des Handicapés ","OHRHA","B-0265",17-May-1999,"Louis E. METAYER"," 1, Santo 9, Croix-des-Bouquets, Rte Ntle 3",,"238-3993",,"Humanitarian Assistance ","West                 Croix-des-Bouquets",,"Haitian",,
829,,,,"Organisation Holiness pour le Développement Spirituel et Social","OHPODES","B-0375",5-Jul-2005,"Pasteur Emmanuel St- GERARD","42, Rue Rémy,    Delmas 32",,"557-0703",,"Humanitarian Assistance ","West (P-a-P, Tabarre, Delmas)       Centre(Hinche, Caracole) South-East (Jacmel, Vallée de Jacmel)",,"Haitian",,
832,,,,"Organisation Phare de West Indies","OPWI","B-0427",16-Oct-2007,"Duckens Daweinsky HANKS","6, Impasse L'Espérance, Pèlerin 5",,"763-2257",,"Humanitarian Assistance ","Delmas 12 à Delmas 48",,"Haitian",,
838,,,,"Organisation pour le Développement Socio-Economique d'Haïti","ODESEH","B-0367",13-Dec-2004,"Marlène R. CASSEUS",,,,,"Humanitarian Assistance ","Delmas, Pétion-Ville, Carrefour, Croix des Bouquets, Port-au-Prince",,"Haitian",,
848,,,,"Organizasyon Men Kontre ","OMEK","B-0232",8-Apr-1996,"Evelyne Rose PIERRE","Rue gardienne , Petit Trou de Nippes",,"234-2956",,"Humanitarian Assistance ","Petit Trou de Nippes",,"Haitian",,
"x",,,"c","Pax Christi Haitipaxchristihaiti@yahoo.fr",,,,"E-mail:$",,"http://www.paxchristi.net/ ",,,"Humanitarian Assistance "," ",,,,
911,,,,"Productive Coopératives Haïti ","PCH","B-0307",25-Nov-2002,"Pierre Richard PIERRE","6, Delmas 81, P-au-P                            pch@fida-pch.org",,"2246-1410",,"Humanitarian Assistance ","Artibonite: Haut Saint-Marc",,"Canadian",,
,,,"gc","Red Cross Federation (found International Federation of Red Cross and Red Crescent Societies)","IFRC",,,,"New York Delegation to the UN International Federation 800 Second Avenue Suite 355, 3rd floor  NY, NY 10017","http://www.ifrc.org/","(212) 338 0161",,"Humanitarian Assistance, Disaster Risk Preparedness, ",,,,,
950,,,,"Réseau d'Initiatives de Développement Local ","RIDEL","B-0336",22-Sep-2003,"Sanon FRANCOIS ","Immeuble Radio Ibo, Canape-Vert",,"512-6465",,"Humanitarian Assistance ","Ganthier",,"Haitian",,
,,,"x","Samuel Dalembert Foundation",,,,,"P.O. Box 340, Bala Cynwyd, PA 19004","www.dalembertfoundation.org","877-AID-HAITI","USA","Humanitarian Assistance ",,,"USA",,"Through partnerships with UNICEF, the Red Cross, and Feed the Children, the Samuel Dalembet Foundation has been able to support numerous relief efforts, including bringing clean water and food supplies to Haiti after hurricane devastation.  Their newest initiative is to build and operate The Dalembert Academy, an educational institute and athletic training facility in Haiti. "
967,,,,"Sant Kal Levek (Centre Karl Lévèque)","SKL","B-0197",18-Aug-1995,"Faustin PIERRE","14, Rue Pomeyrac, Delmas 95, P-V",,"222-0800",,"Humanitarian Assistance ","Nationale",,"Haitian",,
981,,,,"Service de Prochains Haïtiens ","SPH",,10-Sep-1987,"Edouard Jacob TOUSSAINT","Ave. Freicineau Saint-Marc, BP. 9",,,,"Humanitarian Assistance ","Saint-Marc                                 ",,"Haitian","# 23,   14/3/88",
982,,,,"Service International Foundation ","SIF",,21-Aug-1984,"Jean Lubin SAINT-MARC / Lenville GROSS","5, Impasse Mesmin, Delmas 62,          P-au-P",,"257-7849",,"Humanitarian Assistance ","West                         Croix-des-Bouquets Bon Repos",,"American","# 79,  12/11/84",
